M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fmass,Fmnorm,Fmint
1.999565262,0,0,0.800246189,0,0,0.800699745,0.924330525,0.361290251,7.225805016
1.500003385,-0.261656731,0.470711776,0.591175471,0.074482379,0.016479185,0.79620453,0.92442402,0.362103199,7.24206399
1.063165728,0.082681114,0.501155242,0.590212727,0.041442911,-0.019283861,0.656711212,0.92466165,0.364169417,7.283388339
1.999687453,6.21E-08,2.65E-08,0.800085835,-8.50E-08,1.70E-07,0.799876488,0.924822282,0.365566129,7.311322577
1.851076548,-9.44E-08,9.26E-08,0.799881319,-1.67E-08,1.45E-07,0.669003142,0.92489555,0.366203202,7.324064034
1.250109392,1.02E-08,1.76E-09,0.79974759,2.80E-08,4.36E-08,0.400013191,0.925391132,0.370512339,7.410246771
1.998491799,0,0,0.500027541,0,0,0.851342505,0.926051296,0.376252533,7.525050659
1.199911726,0.11963393,0.543807507,0.642174864,0.072161504,0.72925274,0.43034986,0.926365405,0.378983743,7.579674865
0.999587612,0,0,0.399972383,0,0,0.800580606,0.926485485,0.380027851,7.600557026
0.999926465,3.84E-09,-3.87E-11,0.400011354,-3.65E-09,2.82E-09,0.799907396,0.926758465,0.382401441,7.648028813
0.999930376,-8.22E-09,3.38E-09,0.400041209,8.57E-09,-6.50E-09,0.799924553,0.926780255,0.382590907,7.65181814
0.999999854,5.27E-09,-3.78E-09,0.599991104,-5.42E-09,3.25E-09,0.599991113,0.926837471,0.383088406,7.661768121
0.99999999,-8.34E-09,4.02E-09,0.600020363,8.35E-09,-3.61E-09,0.600020398,0.926863724,0.383316679,7.666333572
0.999999996,7.52E-10,-2.61E-10,0.599963313,-7.13E-10,2.30E-10,0.599963312,0.926867981,0.383353694,7.667073873
1,0,0,0.60136217,0,0,0.60136217,0.92690023,0.383634102,7.672682041
1.499972553,-6.17E-09,-6.46E-08,0.599684099,1.75E-08,-4.83E-08,0.799888447,0.927515864,0.388987103,7.779742069
1.250006747,0,0,0.60137566,0,0,0.60136598,0.92814377,0.394446811,7.888936224
1.071896176,-0.010269282,0.027728396,0.688569988,0.002019766,6.38E-05,0.457135491,0.928168771,0.394664197,7.89328395
1.999981429,0.000603216,-0.038784283,0.79886173,0.445316479,0.316233887,0.584133566,0.928331845,0.396082143,7.921642856
1,0.15562003,0,0.58080907,-0.15562003,0,0.58080907,0.92834311,0.396180093,7.923601863
1,-0.15562003,0,0.58080907,0.15562003,0,0.58080907,0.92834316,0.396180528,7.923610558
1.750264908,-3.49E-08,-5.75E-08,0.799632485,3.17E-09,-2.06E-08,0.40009639,0.928765544,0.399853201,7.997064011
1.999851628,0.038833997,0.022301142,0.798793641,-0.49512548,0.208113015,0.59235015,0.92887466,0.400801975,8.01603951
1.333381161,-0.012897656,0.066087732,0.796735519,-0.62829843,-0.493892863,0.032156778,0.929708136,0.408049136,8.160982714
1.065430531,-0.129843448,0.20348227,0.65576958,0.334081496,-0.558065829,0.392987559,0.930482778,0.414784728,8.295694563
1.666675872,-0.040265436,-0.043460264,0.797838878,0.787259109,-0.138036167,0.029139446,0.930803139,0.4175703,8.351406005
1.249854773,7.07E-09,-3.00E-09,0.400139285,2.14E-08,2.76E-08,0.80000584,0.930829945,0.417803381,8.356067624
0.999931106,0.71899003,-0.451933614,0.032892781,-0.067618422,-0.050088335,0.845733051,0.93095645,0.418903355,8.378067105
2.413792405,0,0,0.800703464,0,0,0.800923529,0.931076263,0.419945142,8.398902834
1.000080403,-0.064230919,-0.048601735,0.846079639,0.680586035,-0.419301866,0.028710308,0.931179056,0.420838938,8.41677875
1.499787447,0,0,0.500051806,0,0,0.65026663,0.931219736,0.421192654,8.423853086
1.499984369,0,0,0.60138489,0,0,0.60129087,0.93129275,0.421827519,8.436550372
1.245607968,1.73E-08,-6.36E-08,0.411928577,5.14E-08,-4.08E-08,0.759272587,0.931292859,0.421828466,8.436569328
